nombreEstacion,SemanaEstadistica,Tmedia_mean,Tmedia_median,Tmedia_max,Tmedia_min,Anio,Region,Comuna,Latitud,Longitud,Tmax_mean,Tmax_median,Tmax_max,Tmax_min,Tmin_mean,Tmin_median,Tmin_max,Tmin_min,Tmax_std_log,Tmin_std_log,Tmedia_std_log
Balmaceda Ad.,1,11.861,12.1,16.6,5.5,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,14.633,14.55,17.4,12.3,5.529,6.2,10.5,1.2,1.128,1.402,1.394
Balmaceda Ad.,2,16.418,16.2,23.5,8.2,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,19.057,18.8,24.3,13.1,8.157,8.1,13.4,4.9,1.681,1.514,1.676
Balmaceda Ad.,3,16.646,17.0,22.8,10.7,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,21.014,21.1,23.3,18.3,9.257,7.9,14.1,7.3,0.932,1.293,1.46
Balmaceda Ad.,4,11.917,12.5,17.9,3.8,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,15.2,15.7,18.8,10.7,4.1,3.7,8.6,-1.1,1.29,1.571,1.529
Balmaceda Ad.,5,11.873,12.1,16.5,6.7,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,14.971,14.7,17.3,13.6,6.886,6.9,10.3,3.1,0.791,1.175,1.183
Balmaceda Ad.,6,12.455,12.8,19.2,5.6,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,16.143,15.9,20.1,12.1,6.971,7.4,9.1,3.3,1.254,1.124,1.488
Balmaceda Ad.,7,19.063,18.9,27.8,3.8,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,23.914,25.6,28.5,15.9,4.814,3.2,12.4,-4.1,1.805,1.89,1.894
Balmaceda Ad.,8,15.811,16.7,25.8,4.0,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,19.557,20.1,21.2,17.6,4.286,3.6,10.2,-2.8,0.871,1.873,1.689
Balmaceda Ad.,9,16.742,16.65,25.2,5.2,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,23.186,25.6,26.1,18.4,4.0,5.9,10.7,-2.0,1.483,1.848,1.781
Balmaceda Ad.,10,12.049,12.2,16.9,4.8,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,15.214,16.3,17.4,11.1,6.114,6.1,8.9,3.4,1.2,1.148,1.393
Balmaceda Ad.,11,10.353,10.4,17.4,-0.6,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,14.3,14.4,17.8,9.7,1.257,1.3,6.6,-5.2,1.262,1.573,1.579
Balmaceda Ad.,12,11.125,11.4,19.8,-3.2,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,14.586,14.6,17.7,11.7,2.7,4.9,7.3,-6.7,1.143,1.878,1.589
Balmaceda Ad.,13,9.401,8.9,21.2,-9.0,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,14.457,14.4,21.9,8.3,0.243,1.0,11.7,-11.5,1.882,2.264,1.992
Balmaceda Ad.,14,13.76,15.75,22.9,-3.0,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,20.4,21.0,23.2,16.8,-1.571,-4.1,10.4,-7.8,1.143,1.942,2.021
Balmaceda Ad.,15,8.388,9.55,14.5,-2.5,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,12.657,13.0,17.8,6.1,2.743,3.2,8.2,-6.2,1.539,1.77,1.575
Balmaceda Ad.,16,5.475,4.7,15.1,-5.9,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,9.414,9.1,14.7,2.4,0.186,0.6,7.1,-7.6,1.615,1.685,1.729
Balmaceda Ad.,17,8.344,8.1,16.2,-3.3,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,13.043,15.6,16.6,8.3,1.629,0.6,7.5,-4.3,1.592,1.602,1.619
Balmaceda Ad.,18,5.479,5.5,12.9,-6.3,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,9.1,8.7,13.1,4.7,0.943,1.3,7.7,-7.0,1.327,1.677,1.486
Balmaceda Ad.,19,5.822,6.1,11.8,-5.0,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,9.729,10.3,12.2,6.3,0.543,1.8,6.0,-5.8,1.049,1.66,1.467
Balmaceda Ad.,20,3.262,3.2,9.4,-9.1,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,6.186,7.1,9.6,2.4,-1.4,0.4,1.6,-9.8,1.295,1.587,1.415
Balmaceda Ad.,21,5.759,5.9,12.4,-6.8,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,7.971,7.8,12.5,4.5,1.786,2.6,8.3,-8.2,1.436,1.888,1.68
Balmaceda Ad.,22,3.035,2.7,11.4,-2.3,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,6.714,5.6,12.7,2.9,-0.257,0.1,2.8,-4.5,1.6,1.195,1.277
Balmaceda Ad.,23,1.87,1.7,5.9,-7.7,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,3.9,3.6,5.8,2.4,-2.2,-2.2,4.5,-8.8,0.839,1.691,1.319
Balmaceda Ad.,24,2.399,2.7,6.5,-5.3,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,5.571,5.9,7.7,3.5,-1.371,-1.8,2.1,-5.3,0.953,1.242,1.224
Balmaceda Ad.,25,3.347,3.8,8.8,-4.9,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,6.2,6.1,8.9,4.2,-0.771,0.1,2.2,-6.0,0.939,1.465,1.32
Balmaceda Ad.,26,6.508,6.95,11.4,-1.1,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,9.214,10.1,11.5,6.9,3.057,3.6,6.5,-2.9,1.047,1.483,1.364
Balmaceda Ad.,27,2.281,2.7,7.8,-2.2,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,5.029,4.5,7.9,4.0,-1.2,-1.7,3.1,-3.2,0.852,1.096,1.195
Balmaceda Ad.,28,2.432,3.3,9.6,-9.7,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,6.643,6.6,9.7,4.7,-3.043,-1.4,1.5,-8.8,1.028,1.667,1.638
Balmaceda Ad.,29,5.36,4.8,12.7,-4.4,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,7.986,8.1,12.8,4.6,1.057,-0.6,7.4,-4.4,1.32,1.636,1.523
Balmaceda Ad.,30,0.254,0.7,5.9,-12.6,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,3.271,4.7,6.3,-1.5,-4.686,-3.8,1.3,-13.1,1.377,1.838,1.568
Balmaceda Ad.,31,4.017,4.1,8.2,0.1,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,6.3,5.9,8.9,5.0,0.514,0.6,2.7,-2.0,0.872,0.995,1.023
Balmaceda Ad.,32,4.604,4.15,10.8,-0.1,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,7.271,6.8,11.2,4.3,1.614,2.0,3.4,-0.4,1.248,0.817,1.287
Balmaceda Ad.,33,6.561,6.4,12.5,1.3,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,9.357,8.8,12.9,6.5,2.829,3.0,5.6,0.7,1.265,0.963,1.328
Balmaceda Ad.,34,5.833,5.5,12.3,-2.6,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,9.229,8.0,12.5,6.3,0.843,1.1,4.4,-3.2,1.243,1.345,1.453
Balmaceda Ad.,35,7.658,8.4,13.9,-3.0,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,11.6,11.5,13.4,10.4,0.214,1.3,3.8,-3.3,0.74,1.29,1.577
Balmaceda Ad.,36,7.181,7.1,13.3,1.4,2014,Región De Aysén del General Carlos Ibañez del Campo,Coihaique,-45918332,-71677777,11.057,11.0,14.2,5.7,1.1,1.0,4.0,-0.8,1.341,0.981,1.368
